FECHA,MONTO,TIPO
0023-08-31,5,Vending
2023-08-31,1.10,Almuerzo
2023-08-31,2.48,Almuerzo
FECHA,MONTO,TIPO
2023-08-10,26.86,Super
2023-08-31,5,Otro-Maite
2023-08-12,8.75,Super
2023-07-31,1.10,Otro-Almuerzo
2023-06-23,7.02,Super
2023-08-20,61.99,Utiles-Nacho
FECHA,MONTO,TIPO
2023-08-29,4.39,Super-Almuerzo
2023-08-19,30.68,Super
2023-08-25,1,Adaptador-SIM-Card
2023-08-28,15.60,Nacho-Auris(12.90)
2023-08-23,58.07,Super
2023-08-05,3.50,Otro
2023-08-16,21,McDonnal's con Nachulo
2023-07-31,1.35,Colectivo
2023-08-20,41.98,Nacho-Pantalon_Arquero_&_Guantes
2023-08-22,4.39,Almuerzo
2023-08-30,0.75,Almuerzo
2023-08-21,1.10,Almuerzo
2023-08-21,1.49,Almuerzo
2023-08-29,5.10,Super
FECHA,MONTO,TIPO
2023-08-19,18.21,Super
2023-08-25,4.39,Almuerzo
2023-08-28,1.1,Almuerzo
2023-08-28,3.47,Super
FECHA,MONTO,TIPO
2023-09-01,3.6,Tabachi_Latitas
2023-09-01,5,Vending
2023-09-01,4.39,Almuerzo
FECHA,MONTO,TIPO
2023-09-02,10.53,Super
2023-08-12,38.48,Super
2023-07-29,27.53,Super
2023-09-01,15.69,Super
2023-09-02,34.07,Super
FECHA,MONTO,TIPO
2023-09-02,3,Otro-Coquita_PIS
2023-09-02,59,Salida-Comida_Arrosticini
2023-09-04,4.39,Almuerzo
